"Peak_ID","Mass","RT","relation.ship","codadw","charge","peakid","identification"
1,138.0316989,4.70462972166667,"bp",0.972841563,1,1,"""3-HYDROXYBENZOATE,  HMDB00500,  HMDB02466,  HMDB04062,  C05585,  CPD-7616,  HMDB01895,  C10832,  C00805,  CPD-110,  C00587,  C00156,  C16700,  4-hydroxybenzoate"""
2,127.9123374,9.21205472833333,"bp",0.986926309,1,2,"C05590"
3,282.2558912,3.60080208833333,"bp",0.981729782,1,3,"""C08363,  C08367,  HMDB00573,  HMDB00207,  C01712,  C00712,  HMDB03231,  C12103,  oleate"""
4,165.0188488,9.68672916,"bp",0.955309159,1,4,"""CPD0-1224,  CPD-142"""
5,179.0583328,4.94073560666667,"bp",0.977030232,1,5,"""HMDB00992,  C06339,  C06332,  HMDB00714,  256-TRIHYDROXY-56-DIHYDROQUINOLINE,  C01587,  C01586,  CPD-3192"""
6,174.0164487,11.7258478833333,"bp",0.980812512,1,6,"""HMDB00958,  CPD-11855,  CPD-11854,  HMDB00072,  CIS-ACONITATE,  StdMix3_40,  StdMix1_66,  C05422,  C00417,  CPD-225,  HMDB01264,  CPD-621,  L-DEHYDRO-ASCORBATE,  C02341,  C02342"""
7,256.2403592,3.66908745166667,"254.22+H2",0.995632745,NA,7,"""HMDB00220,  HMDB02396,  C00249"""
8,166.0266121,9.935337905,"bp",0.967600273,1,8,"""CPD1A0-6200,  C06337,  phtalic acid,  HMDB02334,  C01606,  HMDB02428,  CPD-10011,  HMDB02107,  C03590,  StdMix1_52,  benzoquinoneacetic acid,  C14100,  C14096"""
9,179.0583304,6.96601094666667,"bp",0.934186716,1,9,"""HMDB00992,  C06339,  C06332,  HMDB00714,  256-TRIHYDROXY-56-DIHYDROQUINOLINE,  C01587,  C01586,  CPD-3192"""
10,118.0266111,10.434303205,"bp",0.975870275,1,10,"""erythrono-1, 4-lactone,  HMDB00940,  HMDB00202,  HMDB00254,  HMDB00349,  SUC,  succinic acid,  StdMix1_54,  C10900,  StdMix2_64,  C00042,  methylmalonic acid,  threonolactone,  C02170"""
11,241.9862108,3.63263144666667,"bp",0.970587784,1,11,""
12,398.0685745,4.02752113666667,"bp",0.980737087,1,12,"C07316"
13,291.0679105,4.8585415,"bp",0.973703349,1,13,""
14,231.020221,6.98542022166667,"bp",0.979145201,1,14,""
15,216.0401892,10.4478874316667,"bp",0.990918859,1,15,"""C11434,  2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE"""
16,176.0320951,10.386148995,"bp",0.972697478,1,16,"""C04053,  2-KETO-L-GULONOLACTONE,  C06033,  C06430,  C06440,  ASCORBATE,  HMDB00044,  StdMix3_30,  HMDB06355,  C03387,  C03289,  C03217,  D-GLUCURONOLACTONE,  CPD-329,  StdMix2_78,  C02670,  C00072,  CPD-526,  C04471,  C04473,  C04349"""
17,95.98776901,22.6618066833333,"bp",0.995302768,1,17,""
18,188.014402,4.16704485666667,"bp",0.979057745,1,18,"C06678"
19,129.0426238,8.15637883333333,"bp",0.989857157,1,19,"""pyroglutamic acid/5-oxoproline,  C04282,  C04281,  PYRROLINE-HYDROXY-CARBOXYLATE,  5-OXOPROLINE,  HMDB00805,  HMDB00267,  HMDB02234,  C01877,  C01879,  HMDB01843,  HMDB01369,  CPD0-2462,  StdMix2_11,  C02237"""
20,118.0630343,5.214687005,"116.05+H2",0.973657071,NA,20,"""HMDB00410,  HMDB00407,  HMDB00531,  HMDB00642,  HMDB00754,  HMDB00396,  HMDB00351,  HMDB00354,  HMDB02011,  HMDB01863,  HMDB01987,  C02804"""
21,186.1045607,4.25801202666667,"bp",0.977705302,1,21,""
22,330.037698,9.68674358,"2-mer",0.962019975,NA,22,"C13835"
23,90.03155134,7.98357669666667,"bp",0.994847569,1,23,"""3-HYDROXY-PROPIONATE,  L-GLYCERALDEHYDE,  HMDB00700,  HMDB00190,  C01432,  C01013,  D-LACTATE,  DIHYDROXYACETONE,  HMDB01882,  L-LACTATE,  HMDB01311,  HMDB01051,  C00577,  StdMix2_91,  GLYCERALD,  C00256,  C00186,  C00184,  C02154,  C02426,  StdMix1_104"""
24,122.0367973,4.98332525666667,"glycine (-H2O)",0.951918594,NA,24,"""3-OH-BENZALDEHYDE,  C06202,  CPD0-1156,  SALICYLALDEHYDE,  C15474,  C03067,  HMDB11718,  HMDB01870,  hydroxybenzaldehyde,  C00633,  StdMix3_5,  C00539,  benzoic acid,  C00180,  4-HYDROXYBENZALDEHYDE"""
25,104.0472951,7.22321507166667,"bp",0.98651844,1,25,"""C06001,  HMDB00442,  HMDB00729,  HMDB00710,  HMDB00023,  HMDB00011,  HMDB00008,  HMDB00336,  HMDB00357,  C01991,  CPD-6485,  C01188,  C01089,  C03197,  C05984,  StdMix1_51,  C00989,  CPD-3621,  3-HYDROXY-ISOBUTYRATE,  CPD-335,  C14601,  3-hydroxy-isobutyrate"""
26,104.0109062,10.8094830083333,"bp",0.954403423,1,26,"""HMDB00691,  C01146,  HMDB06938,  StdMix1_59,  TARTRONATE-S-ALD,  OH-PYR,  HMDB01352,  MALONATE,  C00383,  C00168"""
27,280.2402772,3.61087555333333,"278.22+H2",0.98194121,NA,27,"""linoleic acid,  C04056,  C08321,  C08282,  HMDB00673,  C08459,  C01595,  HMDB06270,  HMDB03797,  HMDB05048,  HMDB05047"""
28,130.0630507,4.65441054333333,"bp",0.989531317,1,28,"""HMDB10717,  C06008,  C06102,  HMDB00408,  HMDB00491,  HMDB00695,  2-KETO-3-METHYL-VALERATE,  6-HYDROXYHEXAN-6-OLIDE,  C03501,  C03500,  C03465,  C03467,  2-keto-3-methyl-valerate,  C01012,  C03241,  HMDB06024,  ETHYL-ACETOACETATE,  2K-4CH3-PENTANOATE,  HMDB01864,  2-ketoisocaproate,  C00902,  C12314,  C00671,  C14530,  C00233,  PROPIONIC-ANHYDRIDE,  C02129,  C02122,  PANTOYL-LACTONE"""
